ID,gene.count.original,gene.count.UMI
ENSMUSG00000021555,61,29
ENSMUSG00000021557,308,161
ENSMUSG00000021556,66,35
ENSMUSG00000021550,10,7
ENSMUSG00000021552,5,2
ENSMUSG00000021559,223,124
ENSMUSG00000053110,2,1
ENSMUSG00000053111,5,2
ENSMUSG00000053119,47,23
ENSMUSG00000018189,79,37
ENSMUSG00000054469,45,26
ENSMUSG00000027259,10,4
ENSMUSG00000029464,25,12
ENSMUSG00000027253,28,14
ENSMUSG00000063052,48,24
ENSMUSG00000027255,32,15
ENSMUSG00000029466,65,32
ENSMUSG00000033475,46,21
ENSMUSG00000033478,50,25
ENSMUSG00000032637,229,116
ENSMUSG00000037570,42,20
ENSMUSG00000037572,8,3
ENSMUSG00000037573,82,46
ENSMUSG00000037579,18,9
ENSMUSG00000004768,20,15
ENSMUSG00000071659,429,216
ENSMUSG00000071658,216,107
ENSMUSG00000071653,20,13
ENSMUSG00000071652,12,6
ENSMUSG00000026123,164,75
ENSMUSG00000071650,270,138
ENSMUSG00000071657,94,52
ENSMUSG00000071655,60,36
ENSMUSG00000071654,17,8
ENSMUSG00000060260,18,10
ENSMUSG00000060261,380,194
ENSMUSG00000034175,2,1
ENSMUSG00000034173,107,49
ENSMUSG00000073725,244,123
ENSMUSG00000074513,47,25
ENSMUSG00000074517,1,1
ENSMUSG00000074519,1,1
ENSMUSG00000060802,68,34
ENSMUSG00000060803,43,20
ENSMUSG00000003234,84,44
ENSMUSG00000003235,53,28
ENSMUSG00000003233,9,6
ENSMUSG00000046378,18,9
ENSMUSG00000046372,5,3
ENSMUSG00000005968,1,1
ENSMUSG00000042878,15,9
ENSMUSG00000042870,1,1
ENSMUSG00000042873,32,13
ENSMUSG00000025745,61,34
ENSMUSG00000007440,207,107
ENSMUSG00000034793,21,14
ENSMUSG00000034796,191,110
ENSMUSG00000083300,33,18
ENSMUSG00000083305,1,1
ENSMUSG00000049327,7,4
ENSMUSG00000029344,15,7
ENSMUSG00000029345,88,49
ENSMUSG00000029346,7,3
ENSMUSG00000029348,12,8
ENSMUSG00000035228,28,13
ENSMUSG00000035226,20,10
ENSMUSG00000035227,53,25
ENSMUSG00000075391,15,9
ENSMUSG00000028431,118,64
ENSMUSG00000028430,220,117
ENSMUSG00000028433,21,13
ENSMUSG00000028434,3,3
ENSMUSG00000028437,31,12
ENSMUSG00000028436,13,9
ENSMUSG00000028439,110,55
ENSMUSG00000023156,24,10
ENSMUSG00000089883,1,1
ENSMUSG00000078517,270,144
ENSMUSG00000078515,33,16
ENSMUSG00000044847,9,4
ENSMUSG00000006315,24,14
ENSMUSG00000087370,7,4
ENSMUSG00000029049,5,3
ENSMUSG00000030307,27,18
ENSMUSG00000032249,253,126
ENSMUSG00000032245,4,2
ENSMUSG00000024194,21,11
ENSMUSG00000024193,9,6
ENSMUSG00000024190,31,13
ENSMUSG00000024191,26,16
ENSMUSG00000044268,11,7
ENSMUSG00000024220,4,4
ENSMUSG00000024222,86,46
ENSMUSG00000086429,9,5
ENSMUSG00000041729,310,174
ENSMUSG00000041720,468,243
ENSMUSG00000005150,57,32
ENSMUSG00000047766,89,48
ENSMUSG00000047767,2,1
ENSMUSG00000053666,7,1
ENSMUSG00000059183,9,6
ENSMUSG00000059182,40,24
ENSMUSG00000059187,88,44
ENSMUSG00000027751,25,14
ENSMUSG00000027752,17,9
ENSMUSG00000058581,8,3
ENSMUSG00000058587,18,10
ENSMUSG00000058589,553,298
ENSMUSG00000042515,8,4
ENSMUSG00000057584,1,1
ENSMUSG00000004207,2885,1491
ENSMUSG00000056185,48,24
ENSMUSG00000080747,12,6
ENSMUSG00000047181,2,1
ENSMUSG00000047187,345,171
ENSMUSG00000082422,1,1
ENSMUSG00000029465,482,239
ENSMUSG00000084111,47,33
ENSMUSG00000084113,24,14
ENSMUSG00000084115,2,1
ENSMUSG00000089744,8,3
ENSMUSG00000089748,32,15
ENSMUSG00000029705,21,10
ENSMUSG00000050910,2,2
ENSMUSG00000061207,12,5
ENSMUSG00000050912,1,1
ENSMUSG00000083468,1,1
ENSMUSG00000017299,40,21
ENSMUSG00000013997,44,25
ENSMUSG00000033949,2,1
ENSMUSG00000033948,11,7
ENSMUSG00000045854,10,6
ENSMUSG00000036026,197,101
ENSMUSG00000036023,40,18
ENSMUSG00000036022,1,1
ENSMUSG00000053460,40,17
ENSMUSG00000053465,93,44
ENSMUSG00000022206,63,36
ENSMUSG00000033940,196,97
ENSMUSG00000022201,513,267
ENSMUSG00000036792,24,15
ENSMUSG00000036790,57,25
ENSMUSG00000037772,13,7
ENSMUSG00000037773,8,6
ENSMUSG00000054115,1,1
ENSMUSG00000054116,5,1
ENSMUSG00000030629,126,57
ENSMUSG00000025898,20,8
ENSMUSG00000077450,19,14
ENSMUSG00000019659,18,9
ENSMUSG00000025867,537,275
ENSMUSG00000025860,17,7
ENSMUSG00000025862,62,35
ENSMUSG00000025869,52,27
ENSMUSG00000025868,112,49
ENSMUSG00000021375,2,1
ENSMUSG00000021374,32,20
ENSMUSG00000021377,67,38
ENSMUSG00000021376,1,1
ENSMUSG00000021371,12,5
ENSMUSG00000021373,518,282
ENSMUSG00000066307,1,1
ENSMUSG00000031323,5,2
ENSMUSG00000031327,15,5
ENSMUSG00000093256,2,1
ENSMUSG00000028568,28,15
ENSMUSG00000036800,146,75
ENSMUSG00000029106,521,261
ENSMUSG00000029104,210,108
ENSMUSG00000028560,39,19
ENSMUSG00000029103,515,282
ENSMUSG00000029101,6,2
ENSMUSG00000029108,60,33
ENSMUSG00000034973,50,28
ENSMUSG00000020422,2,1
ENSMUSG00000020423,8,6
ENSMUSG00000020427,9,5
ENSMUSG00000025280,66,36
ENSMUSG00000025287,18,11
ENSMUSG00000025289,14,11
ENSMUSG00000048537,3,1
ENSMUSG00000022489,52,32
ENSMUSG00000046550,20,15
ENSMUSG00000020638,15,7
ENSMUSG00000038324,345,174
ENSMUSG00000038323,14,9
ENSMUSG00000025139,127,67
ENSMUSG00000025138,14,7
ENSMUSG00000025133,49,29
ENSMUSG00000025132,253,129
ENSMUSG00000025130,303,154
ENSMUSG00000025137,46,22
ENSMUSG00000025135,75,38
ENSMUSG00000025134,43,25
ENSMUSG00000049804,72,39
ENSMUSG00000049807,49,27
ENSMUSG00000049800,31,14
ENSMUSG00000087177,1,1
ENSMUSG00000087174,9,4
ENSMUSG00000023999,12,5
ENSMUSG00000023991,69,38
ENSMUSG00000023994,15,7
ENSMUSG00000018537,9,6
ENSMUSG00000024426,27,12
ENSMUSG00000024427,5,3
ENSMUSG00000024424,33,19
ENSMUSG00000024425,1063,560
ENSMUSG00000024422,16,7
ENSMUSG00000024423,396,198
ENSMUSG00000024420,1,1
ENSMUSG00000024421,3,2
ENSMUSG00000024429,76,37
ENSMUSG00000011751,93,50
ENSMUSG00000053702,66,28
ENSMUSG00000049119,53,31
ENSMUSG00000005312,363,200
ENSMUSG00000049112,2,1
ENSMUSG00000032911,2,2
ENSMUSG00000032913,81,40
ENSMUSG00000059343,5,3
ENSMUSG00000027195,143,72
ENSMUSG00000027194,79,33
ENSMUSG00000027193,137,60
ENSMUSG00000027198,69,33
ENSMUSG00000077148,2,1
ENSMUSG00000031143,19,16
ENSMUSG00000030519,411,228
ENSMUSG00000030518,41,19
ENSMUSG00000030512,37,17
ENSMUSG00000030516,70,38
ENSMUSG00000030515,70,42
ENSMUSG00000070738,106,49
ENSMUSG00000070733,67,39
ENSMUSG00000004040,27,11
ENSMUSG00000070730,26,18
ENSMUSG00000006575,68,37
ENSMUSG00000006576,33,19
ENSMUSG00000072640,11,4
ENSMUSG00000004591,20,10
ENSMUSG00000003068,20,10
ENSMUSG00000089186,8,2
ENSMUSG00000089188,7,3
ENSMUSG00000003062,48,20
ENSMUSG00000054499,6,3
ENSMUSG00000005886,90,51
ENSMUSG00000005881,133,64
ENSMUSG00000005882,44,18
ENSMUSG00000046658,10,5
ENSMUSG00000083116,40,14
ENSMUSG00000035078,118,57
ENSMUSG00000008489,45,24
ENSMUSG00000008153,726,387
ENSMUSG00000041028,676,341
ENSMUSG00000041025,16,11
ENSMUSG00000041020,212,119
ENSMUSG00000077912,7,4
ENSMUSG00000004865,67,38
ENSMUSG00000019433,37,20
ENSMUSG00000045302,34,21
ENSMUSG00000016831,93,42
ENSMUSG00000016833,38,17
ENSMUSG00000001334,52,23
ENSMUSG00000051169,8,5
ENSMUSG00000058135,6,4
ENSMUSG00000041688,3,2
ENSMUSG00000041685,33,16
ENSMUSG00000041684,30,14
ENSMUSG00000040374,27,11
ENSMUSG00000040370,25,15
ENSMUSG00000040372,38,18
ENSMUSG00000040373,12,6
ENSMUSG00000040084,2,1
ENSMUSG00000041975,4,3
ENSMUSG00000041974,4,1
ENSMUSG00000041977,97,46
ENSMUSG00000050705,65,28
ENSMUSG00000005054,37,20
ENSMUSG00000050708,2,1
ENSMUSG00000062604,315,167
ENSMUSG00000015027,3,2
ENSMUSG00000015023,16,10
ENSMUSG00000059669,23,11
ENSMUSG00000000441,33,19
ENSMUSG00000051074,2,1
ENSMUSG00000055137,6,3
ENSMUSG00000031549,10,5
ENSMUSG00000056394,2,1
ENSMUSG00000083940,10,4
ENSMUSG00000070583,16,7
ENSMUSG00000047539,32,12
ENSMUSG00000065236,1,1
ENSMUSG00000057506,6,4
ENSMUSG00000064542,2,1
ENSMUSG00000079469,15,7
ENSMUSG00000052676,9,6
ENSMUSG00000052675,5,3
ENSMUSG00000018334,188,91
ENSMUSG00000031381,2,2
ENSMUSG00000061079,12,7
ENSMUSG00000017314,200,101
ENSMUSG00000021928,4,3
ENSMUSG00000021929,255,131
ENSMUSG00000022191,129,64
ENSMUSG00000044042,23,11
ENSMUSG00000044043,32,15
ENSMUSG00000022194,31,15
ENSMUSG00000054099,11,4
ENSMUSG00000022195,35,21
ENSMUSG00000033228,86,43
ENSMUSG00000033220,2,2
ENSMUSG00000036613,81,34
ENSMUSG00000036617,69,31
ENSMUSG00000036615,45,21
ENSMUSG00000022199,527,277
ENSMUSG00000055943,137,73
ENSMUSG00000060679,40,24
ENSMUSG00000060678,101,45
ENSMUSG00000060675,1,1
ENSMUSG00000038500,11,7
ENSMUSG00000060671,24,11
ENSMUSG00000030759,215,92
ENSMUSG00000059540,40,21
ENSMUSG00000030751,235,123
ENSMUSG00000030750,16,9
ENSMUSG00000030753,18,11
ENSMUSG00000030754,297,147
ENSMUSG00000030757,6,4
ENSMUSG00000031540,36,19
ENSMUSG00000018809,15,8
ENSMUSG00000018800,97,65
ENSMUSG00000037259,184,91
ENSMUSG00000037257,61,30
ENSMUSG00000037251,32,21
ENSMUSG00000037253,24,10
ENSMUSG00000092083,45,26
ENSMUSG00000022382,13,8
ENSMUSG00000090790,3,1
ENSMUSG00000030283,43,23
ENSMUSG00000030282,103,47
ENSMUSG00000030287,3,1
ENSMUSG00000030286,89,44
ENSMUSG00000030284,86,44
ENSMUSG00000051435,1,1
ENSMUSG00000063320,8,5
ENSMUSG00000048164,1,1
ENSMUSG00000039367,57,37
ENSMUSG00000039361,216,110
ENSMUSG00000090247,21,12
ENSMUSG00000031150,1,1
ENSMUSG00000031153,169,92
ENSMUSG00000031154,102,50
ENSMUSG00000031155,14,8
ENSMUSG00000031156,16,8
ENSMUSG00000031157,177,92
ENSMUSG00000031158,3,3
ENSMUSG00000070802,905,474
ENSMUSG00000070808,8,3
ENSMUSG00000034509,7,2
ENSMUSG00000034501,33,19
ENSMUSG00000022521,205,110
ENSMUSG00000029716,1,1
ENSMUSG00000022523,83,46
ENSMUSG00000029714,35,16
ENSMUSG00000022525,15,7
ENSMUSG00000029712,181,92
ENSMUSG00000029711,15,9
ENSMUSG00000022526,19,11
ENSMUSG00000022529,11,5
ENSMUSG00000022528,30,12
ENSMUSG00000035671,7,4
ENSMUSG00000038280,78,38
ENSMUSG00000038286,43,23
ENSMUSG00000042156,9,4
ENSMUSG00000042155,128,59
ENSMUSG00000028047,9,5
ENSMUSG00000028041,76,35
ENSMUSG00000028048,48,27
ENSMUSG00000028049,21,9
ENSMUSG00000020671,193,116
ENSMUSG00000020677,46,22
ENSMUSG00000020674,64,34
ENSMUSG00000069913,2,1
ENSMUSG00000018470,12,8
ENSMUSG00000018476,27,11
ENSMUSG00000018474,323,166
ENSMUSG00000087700,19,14
ENSMUSG00000027540,51,23
ENSMUSG00000027544,19,7
ENSMUSG00000051777,3,1
ENSMUSG00000033147,6,3
ENSMUSG00000074911,4,2
ENSMUSG00000074910,11,8
ENSMUSG00000005299,140,79
ENSMUSG00000074918,9,5
ENSMUSG00000028101,12,7
ENSMUSG00000028100,20,11
ENSMUSG00000028102,35,17
ENSMUSG00000026639,1,1
ENSMUSG00000028107,37,18
ENSMUSG00000028106,99,51
ENSMUSG00000026634,34,17
ENSMUSG00000042978,15,6
ENSMUSG00000003929,37,19
ENSMUSG00000003923,74,42
ENSMUSG00000081705,4,2
ENSMUSG00000081700,6,4
ENSMUSG00000006728,26,14
ENSMUSG00000058897,59,28
ENSMUSG00000006720,7,3
ENSMUSG00000016200,40,16
ENSMUSG00000047804,29,17
ENSMUSG00000034265,45,23
ENSMUSG00000045409,6,2
ENSMUSG00000028901,33,19
ENSMUSG00000028902,107,52
ENSMUSG00000028907,26,14
ENSMUSG00000028906,2,1
ENSMUSG00000028909,168,90
ENSMUSG00000078681,62,33
ENSMUSG00000078684,4,1
ENSMUSG00000002728,16,12
ENSMUSG00000053838,190,98
ENSMUSG00000059852,6,3
ENSMUSG00000059857,8,7
ENSMUSG00000053830,2,1
ENSMUSG00000083097,3,2
ENSMUSG00000031227,486,246
ENSMUSG00000083766,1,1
ENSMUSG00000000766,3,2
ENSMUSG00000044751,39,19
ENSMUSG00000015790,65,33
ENSMUSG00000078974,12,6
ENSMUSG00000031221,30,15
ENSMUSG00000078970,103,70
ENSMUSG00000002897,27,14
ENSMUSG00000038888,4,2
ENSMUSG00000058073,6,1
ENSMUSG00000058070,35,15
ENSMUSG00000058076,50,24
ENSMUSG00000055296,60,31
ENSMUSG00000014547,8,3
ENSMUSG00000055745,19,14
ENSMUSG00000040128,77,42
ENSMUSG00000040125,26,12
ENSMUSG00000040124,27,13
ENSMUSG00000040123,28,11
ENSMUSG00000045519,15,7
ENSMUSG00000043131,9,4
ENSMUSG00000061619,17,8
ENSMUSG00000025410,509,273
ENSMUSG00000025413,44,21
ENSMUSG00000061613,14,8
ENSMUSG00000025417,237,117
ENSMUSG00000056215,8,3
ENSMUSG00000056216,24,12
ENSMUSG00000056211,236,125
ENSMUSG00000046441,10,4
ENSMUSG00000047473,13,8
ENSMUSG00000002190,18,9
ENSMUSG00000053192,439,238
ENSMUSG00000066647,16,7
ENSMUSG00000066640,19,13
ENSMUSG00000066643,178,93
ENSMUSG00000068220,3,2
ENSMUSG00000000355,158,79
ENSMUSG00000018102,8,5
ENSMUSG00000052825,32,20
ENSMUSG00000019856,26,10
ENSMUSG00000019854,100,43
ENSMUSG00000019853,1,1
ENSMUSG00000019852,207,110
ENSMUSG00000019850,43,18
ENSMUSG00000033382,111,53
ENSMUSG00000062184,67,36
ENSMUSG00000033389,91,60
ENSMUSG00000021884,3,1
ENSMUSG00000037868,12,7
ENSMUSG00000036403,17,9
ENSMUSG00000036402,11,6
ENSMUSG00000005057,5,2
ENSMUSG00000020828,2,2
ENSMUSG00000020829,2,1
ENSMUSG00000027834,856,447
ENSMUSG00000027835,22,11
ENSMUSG00000091723,1,1
ENSMUSG00000091722,2,2
ENSMUSG00000060739,6,4
ENSMUSG00000060733,18,9
ENSMUSG00000060735,1,1
ENSMUSG00000009406,17,10
ENSMUSG00000030126,44,22
ENSMUSG00000030127,164,88
ENSMUSG00000030122,673,370
ENSMUSG00000030123,14,9
ENSMUSG00000030120,368,210
ENSMUSG00000038718,1,1
ENSMUSG00000031835,30,18
ENSMUSG00000031834,118,59
ENSMUSG00000049401,45,20
ENSMUSG00000031839,266,131
ENSMUSG00000060882,220,109
ENSMUSG00000038712,8,5
ENSMUSG00000046603,18,10
ENSMUSG00000048481,5,2
ENSMUSG00000063281,26,14
ENSMUSG00000026872,950,467
ENSMUSG00000074872,8,6
ENSMUSG00000026879,15,9
ENSMUSG00000026878,359,190
ENSMUSG00000043165,7,5
ENSMUSG00000043162,4,3
ENSMUSG00000074876,3,1
ENSMUSG00000039449,73,41
ENSMUSG00000029695,3,1
ENSMUSG00000042699,398,202
ENSMUSG00000042694,11,6
ENSMUSG00000048485,3,2
ENSMUSG00000025991,2,1
ENSMUSG00000025993,2,1
ENSMUSG00000025995,28,17
ENSMUSG00000036943,77,35
ENSMUSG00000021061,155,82
ENSMUSG00000021062,50,28
ENSMUSG00000021065,94,49
ENSMUSG00000021067,2,1
ENSMUSG00000021066,430,215
ENSMUSG00000021068,21,12
ENSMUSG00000029524,5,3
ENSMUSG00000032712,15,10
ENSMUSG00000032718,19,12
ENSMUSG00000050605,9,5
ENSMUSG00000045648,1,1
ENSMUSG00000024112,74,38
ENSMUSG00000024118,3,2
ENSMUSG00000028191,14,9
ENSMUSG00000044595,2,2
ENSMUSG00000042348,145,83
ENSMUSG00000079317,26,12
ENSMUSG00000081920,1,1
ENSMUSG00000074892,53,25
ENSMUSG00000074890,10,6
ENSMUSG00000022973,986,500
ENSMUSG00000022971,13,7
ENSMUSG00000058503,49,26
ENSMUSG00000005481,19,9
ENSMUSG00000024805,18,9
ENSMUSG00000024807,89,44
ENSMUSG00000024800,36,14
ENSMUSG00000059456,2134,1108
ENSMUSG00000087511,4,3
ENSMUSG00000087515,2,1
ENSMUSG00000043909,194,101
ENSMUSG00000051627,60,24
ENSMUSG00000005732,107,53
ENSMUSG00000030822,11,7
ENSMUSG00000030826,4,1
ENSMUSG00000030824,107,63
ENSMUSG00000040455,130,64
ENSMUSG00000040451,24,11
ENSMUSG00000040452,37,19
ENSMUSG00000004285,99,45
ENSMUSG00000084877,2,2
ENSMUSG00000026409,34,16
ENSMUSG00000026404,17,9
ENSMUSG00000026405,2,1
ENSMUSG00000033813,43,19
ENSMUSG00000047108,1,1
ENSMUSG00000003778,88,42
ENSMUSG00000015968,21,10
ENSMUSG00000007646,9,3
ENSMUSG00000015961,85,43
ENSMUSG00000085825,3,2
ENSMUSG00000091562,8,2
ENSMUSG00000083243,2,1
ENSMUSG00000081113,216,120
ENSMUSG00000081111,5,3
ENSMUSG00000031380,6,3
ENSMUSG00000026833,1126,589
ENSMUSG00000031382,6,3
ENSMUSG00000026837,1,1
ENSMUSG00000064247,3,1
ENSMUSG00000014361,4,2
ENSMUSG00000080242,21,10
ENSMUSG00000002910,2,1
ENSMUSG00000031386,162,87
ENSMUSG00000043424,14,7
ENSMUSG00000010290,37,19
ENSMUSG00000029388,45,26
ENSMUSG00000019528,30,14
ENSMUSG00000029389,17,9
ENSMUSG00000017478,31,12
ENSMUSG00000015189,146,70
ENSMUSG00000029387,16,8
ENSMUSG00000041199,46,22
ENSMUSG00000027419,671,324
ENSMUSG00000041444,171,87
ENSMUSG00000016984,7,3
ENSMUSG00000040929,45,25
ENSMUSG00000036887,1,1
ENSMUSG00000036885,64,35
ENSMUSG00000036882,54,28
ENSMUSG00000036880,3,1
ENSMUSG00000051548,5,2
ENSMUSG00000022779,14,9
ENSMUSG00000049285,4,3
ENSMUSG00000022770,99,58
ENSMUSG00000022771,77,36
ENSMUSG00000022772,51,26
ENSMUSG00000022773,10,6
ENSMUSG00000022774,34,23
ENSMUSG00000040712,559,299
ENSMUSG00000040713,16,9
ENSMUSG00000040710,9,5
ENSMUSG00000040717,1,1
ENSMUSG00000040715,6,3
ENSMUSG00000052160,1,1
ENSMUSG00000025209,6,3
ENSMUSG00000025208,58,26
ENSMUSG00000028639,33,18
ENSMUSG00000025201,7,5
ENSMUSG00000025200,5,4
ENSMUSG00000025203,230,114
ENSMUSG00000028633,78,37
ENSMUSG00000025204,212,105
ENSMUSG00000025207,5,2
ENSMUSG00000028630,27,14
ENSMUSG00000039057,9,7
ENSMUSG00000060152,54,34
ENSMUSG00000039059,22,10
ENSMUSG00000039058,462,231
ENSMUSG00000023913,32,21
ENSMUSG00000023912,19,10
ENSMUSG00000023915,154,82
ENSMUSG00000023919,1,1
ENSMUSG00000067722,6,4
ENSMUSG00000021458,7,5
ENSMUSG00000021451,28,15
ENSMUSG00000021453,84,36
ENSMUSG00000052783,2,1
ENSMUSG00000038900,6,4
ENSMUSG00000038902,85,46
ENSMUSG00000038909,206,101
ENSMUSG00000086626,5,2
ENSMUSG00000019951,166,81
ENSMUSG00000050332,1,1
ENSMUSG00000032998,147,69
ENSMUSG00000032997,49,26
ENSMUSG00000020329,27,18
ENSMUSG00000020328,10,7
ENSMUSG00000063714,4,3
ENSMUSG00000027111,8,5
ENSMUSG00000020326,72,34
ENSMUSG00000048240,59,37
ENSMUSG00000048249,14,11
ENSMUSG00000026248,29,13
ENSMUSG00000026249,45,21
ENSMUSG00000026245,169,79
ENSMUSG00000026240,29,12
ENSMUSG00000026241,7,3
ENSMUSG00000030592,13,5
ENSMUSG00000030591,199,100
ENSMUSG00000030590,27,18
ENSMUSG00000030595,20,11
ENSMUSG00000001062,19,12
ENSMUSG00000034032,20,9
ENSMUSG00000052479,19,8
ENSMUSG00000019297,5,1
ENSMUSG00000060961,4,3
ENSMUSG00000071460,1,1
ENSMUSG00000023143,5,2
ENSMUSG00000023147,44,23
ENSMUSG00000092033,1,1
ENSMUSG00000073198,5,3
ENSMUSG00000031642,146,78
ENSMUSG00000031644,15,10
ENSMUSG00000031647,18,10
ENSMUSG00000049672,16,9
ENSMUSG00000026932,3,2
ENSMUSG00000026933,75,42
ENSMUSG00000026930,19,9
ENSMUSG00000043733,92,53
ENSMUSG00000022231,9,5
ENSMUSG00000022235,3,3
ENSMUSG00000022234,490,249
ENSMUSG00000022237,139,66
ENSMUSG00000029229,2,1
ENSMUSG00000035342,4,4
ENSMUSG00000028576,84,40
ENSMUSG00000028577,87,44
ENSMUSG00000028572,70,37
ENSMUSG00000028573,10,4
ENSMUSG00000028578,5,3
ENSMUSG00000046523,40,23
ENSMUSG00000025505,1,1
ENSMUSG00000006057,23,12
ENSMUSG00000006058,26,12
ENSMUSG00000042063,31,15
ENSMUSG00000042066,49,25
ENSMUSG00000007989,87,45
ENSMUSG00000007987,55,25
ENSMUSG00000034120,3,2
ENSMUSG00000032698,9,5
ENSMUSG00000044968,20,8
ENSMUSG00000087233,6,3
ENSMUSG00000087235,10,6
ENSMUSG00000056306,70,41
ENSMUSG00000032525,25,13
ENSMUSG00000032526,29,20
ENSMUSG00000032527,45,26
ENSMUSG00000044387,1,1
ENSMUSG00000065282,5,2
ENSMUSG00000024304,191,104
ENSMUSG00000024302,91,47
ENSMUSG00000024309,61,31
ENSMUSG00000024308,15,8
ENSMUSG00000086544,13,7
ENSMUSG00000044030,47,25
ENSMUSG00000044034,2,1
ENSMUSG00000001911,210,108
ENSMUSG00000001910,31,14
ENSMUSG00000059552,21,9
ENSMUSG00000059554,22,11
ENSMUSG00000032289,134,74
ENSMUSG00000032288,15,9
ENSMUSG00000024158,212,108
ENSMUSG00000041607,29,16
ENSMUSG00000041609,9,4
ENSMUSG00000050783,1,1
ENSMUSG00000050786,14,9
ENSMUSG00000047604,6,1
ENSMUSG00000047606,3,1
ENSMUSG00000047603,18,10
ENSMUSG00000056602,572,301
ENSMUSG00000086651,9,3
ENSMUSG00000024150,58,24
ENSMUSG00000027655,4,2
ENSMUSG00000024151,62,38
ENSMUSG00000027650,17,10
ENSMUSG00000027651,36,19
ENSMUSG00000027652,165,82
ENSMUSG00000074236,1,1
ENSMUSG00000074235,2,2
ENSMUSG00000056069,23,12
ENSMUSG00000004360,7,2
ENSMUSG00000004366,23,10
ENSMUSG00000004364,405,217
ENSMUSG00000066037,101,54
ENSMUSG00000066036,331,151
ENSMUSG00000081964,1,1
ENSMUSG00000057335,167,83
ENSMUSG00000057337,3,1
ENSMUSG00000085167,3,1
ENSMUSG00000085169,1,1
ENSMUSG00000046959,6,3
ENSMUSG00000089661,24,10
ENSMUSG00000089663,3,2
ENSMUSG00000089662,1,1
ENSMUSG00000089665,9,5
ENSMUSG00000088183,1,1
ENSMUSG00000082675,85,48
ENSMUSG00000082674,4,3
ENSMUSG00000082678,3,2
ENSMUSG00000050812,159,81
ENSMUSG00000009418,119,49
ENSMUSG00000084781,16,1
ENSMUSG00000084783,2,1
ENSMUSG00000084786,214,120
ENSMUSG00000081093,2,1
ENSMUSG00000085782,1,1
ENSMUSG00000085783,21,10
ENSMUSG00000085788,3,2
ENSMUSG00000083783,1,1
ENSMUSG00000016664,60,27
ENSMUSG00000081323,1,1
ENSMUSG00000002031,51,30
ENSMUSG00000052684,99,52
ENSMUSG00000091570,13,6
ENSMUSG00000038803,8,3
ENSMUSG00000018882,37,14
ENSMUSG00000078441,29,15
ENSMUSG00000078440,26,13
ENSMUSG00000054013,82,42
ENSMUSG00000038506,26,14
ENSMUSG00000005198,182,90
ENSMUSG00000038502,199,102
ENSMUSG00000038503,75,31
ENSMUSG00000037126,212,102
ENSMUSG00000029012,34,19
ENSMUSG00000039676,14,6
ENSMUSG00000039671,168,79
ENSMUSG00000039670,7,2
ENSMUSG00000039678,23,10
ENSMUSG00000079716,4,1
ENSMUSG00000023307,46,24
ENSMUSG00000015668,52,23
ENSMUSG00000047153,10,4
ENSMUSG00000021238,10,3
ENSMUSG00000021239,1,1
ENSMUSG00000021234,27,13
ENSMUSG00000021235,19,6
ENSMUSG00000021236,4,3
ENSMUSG00000000305,11,3
ENSMUSG00000031409,34,17
ENSMUSG00000062054,13,7
ENSMUSG00000056501,14,9
ENSMUSG00000029027,12,5
ENSMUSG00000029020,218,117
ENSMUSG00000029022,1,1
ENSMUSG00000029029,13,7
ENSMUSG00000029028,78,38
ENSMUSG00000020549,32,19
ENSMUSG00000038206,1,1
ENSMUSG00000038205,61,30
ENSMUSG00000020541,7,4
ENSMUSG00000020544,9,4
ENSMUSG00000020547,68,39
ENSMUSG00000020546,22,10
ENSMUSG00000028779,39,20
ENSMUSG00000000223,89,45
ENSMUSG00000028772,112,52
ENSMUSG00000028773,35,20
ENSMUSG00000028771,7,4
ENSMUSG00000063902,115,57
ENSMUSG00000063904,24,11
ENSMUSG00000029790,9,5
ENSMUSG00000045996,2,1
ENSMUSG00000025078,13,6
ENSMUSG00000025076,6,3
ENSMUSG00000052087,258,139
ENSMUSG00000013629,13,6
ENSMUSG00000013622,38,21
ENSMUSG00000035898,37,19
ENSMUSG00000035890,32,15
ENSMUSG00000087034,7,3
ENSMUSG00000087038,1,1
ENSMUSG00000052337,317,158
ENSMUSG00000032324,397,200
ENSMUSG00000032322,2,1
ENSMUSG00000052331,2,1
ENSMUSG00000072407,2,2
ENSMUSG00000037946,6,2
ENSMUSG00000023892,3,1
ENSMUSG00000037940,1,1
ENSMUSG00000032328,772,380
ENSMUSG00000070305,2,1
ENSMUSG00000021796,32,16
ENSMUSG00000021792,80,41
ENSMUSG00000021798,2,2
ENSMUSG00000086784,6,4
ENSMUSG00000074997,4,2
ENSMUSG00000074994,4,3
ENSMUSG00000032816,2,1
ENSMUSG00000027712,15,7
ENSMUSG00000036315,18,8
ENSMUSG00000022853,7,3
ENSMUSG00000022856,2,2
ENSMUSG00000022858,28,19
ENSMUSG00000072294,1,1
ENSMUSG00000030417,10,7
ENSMUSG00000030410,51,30
ENSMUSG00000030411,95,49
ENSMUSG00000027329,7,4
ENSMUSG00000027324,5,4
ENSMUSG00000027327,16,7
ENSMUSG00000027323,6,1
ENSMUSG00000022387,77,36
ENSMUSG00000022386,13,8
ENSMUSG00000040828,2,1
ENSMUSG00000040820,8,4
ENSMUSG00000040822,13,4
ENSMUSG00000040824,10,6
ENSMUSG00000031487,39,23
ENSMUSG00000001157,19,7
